Bin	DR	DD	RR	Omega
165	45688904	46866146	40277202	-0.105133
166	45478867	46575608	40167088	-0.104938
167	45269477	46576730	40076532	-0.096957
168	45002276	46481120	39989166	-0.088381
169	44760626	46282390	39914662	-0.083283
170	44536066	45949072	39795794	-0.083608
171	44230066	45801774	39683484	-0.074965
172	43937172	45632276	39597266	-0.066793
173	43745701	45276800	39487666	-0.069058
174	43490096	45073088	39386554	-0.063995
175	43291273	45027024	39281684	-0.057885
176	43104022	44930840	39164672	-0.053940
177	42855463	44641854	39051202	-0.051672
178	42603734	44286040	38919200	-0.051446
179	42421905	44036646	38797926	-0.051787
180	42224147	43796432	38643670	-0.051967
181	42048007	43348068	38469790	-0.059219
182	41868180	42902484	38334606	-0.065196
183	41665739	42786750	38169678	-0.062223
184	41466590	42603738	38072488	-0.059280
185	41308816	42510694	37933138	-0.057306
186	41105794	42170104	37799040	-0.059325
187	40848398	41659642	37648116	-0.063457
188	40641245	40954026	37496266	-0.075533
189	40378601	40378490	37346504	-0.081191
190	40071136	39918852	37197326	-0.081352
191	39692200	39536824	37078838	-0.074672
192	39392469	39048636	36943894	-0.075585
193	39088605	38484738	36798698	-0.078638
194	38815400	37897392	36619160	-0.085044
195	38565595	37381308	36453996	-0.090412
196	38279834	36885544	36320642	-0.092330
197	38014987	36350984	36173316	-0.096913
198	37755017	35677408	36019298	-0.105869
199	37459306	35060538	35896646	-0.110356
200	37189076	34647334	35733666	-0.111860
201	36961179	34189114	35549998	-0.117672
202	36747001	33733940	35393204	-0.123381
203	36523086	33269408	35246356	-0.128535
204	36244294	32893378	35085384	-0.128539
205	35951067	32590424	34898566	-0.126456
206	35751304	32354170	34733186	-0.127119
207	35459727	31934212	34579146	-0.127421
208	35167501	31583592	34432976	-0.125416
209	34953419	31171304	34270266	-0.130296
210	34713361	30663576	34075550	-0.137565
211	34472033	30196112	33909938	-0.142673
212	34234251	29757262	33749452	-0.147018
213	33968848	29400858	33553770	-0.148510
214	33726510	28928402	33373074	-0.154362
215	33517521	28471144	33190650	-0.161890
216	33303966	28159198	33033980	-0.163915
217	33072751	27788200	32850710	-0.167625
218	32828206	27494936	32658602	-0.168497
219	32540925	27005470	32440470	-0.173731
220	32281676	26465654	32278444	-0.180283
221	31951148	25941336	32116026	-0.181994
222	31608228	25457354	31902220	-0.183589
223	31320874	25104626	31748602	-0.182324
224	31051160	24671472	31555342	-0.186197
225	30817895	24231412	31350292	-0.193111
226	30510898	23772062	31170844	-0.195018
227	30223173	23282908	30995034	-0.199013
228	29937406	22858536	30802536	-0.201728
229	29673785	22460334	30617844	-0.204763
230	29391725	22067788	30388892	-0.208194
231	29130743	21732058	30168690	-0.210839
232	28847562	21390214	29958214	-0.211852
233	28587011	21025592	29724334	-0.216122
234	28261930	20788332	29517662	-0.210649
235	27937122	20491102	29329154	-0.206415
236	27652398	20172508	29114716	-0.206685
237	27332725	19864838	28871718	-0.205353
238	27085547	19606174	28673782	-0.205454
239	26847369	19340900	28463042	-0.206963
240	26585193	19020994	28262404	-0.208297
241	26317100	18666284	28045500	-0.211172
242	26071651	18296598	27850248	-0.215311
243	25808213	18052004	27662468	-0.213356
244	25525280	17814870	27462382	-0.210226
245	25274595	17576464	27261196	-0.209511
246	25025058	17333928	27053514	-0.209314
247	24794658	17114142	26862196	-0.208955
248	24578852	16884708	26636724	-0.211598
249	24339730	16628552	26455278	-0.211513
250	24109300	16282234	26247324	-0.216748
251	23846622	15892486	26014896	-0.222406
252	23572891	15699218	25811616	-0.218311
253	23303974	15592008	25597986	-0.211655
254	23061780	15344960	25387220	-0.212366
255	22820113	15049398	25201308	-0.213859
256	22599658	14807118	24986286	-0.216355
257	22348358	14526564	24790836	-0.216988
258	22102857	14355760	24558492	-0.215464
259	21890217	14125032	24330260	-0.218869
260	21670820	13883402	24122696	-0.221183
261	21469060	13616704	23897064	-0.226988
262	21258831	13363022	23691100	-0.230616
263	21036128	13153480	23461214	-0.232621
264	20770122	12933732	23241248	-0.230851
265	20530830	12706188	22985186	-0.233641
266	20276930	12461698	22734642	-0.235654
267	20006031	12193404	22475956	-0.237707
268	19693455	11937026	22209396	-0.235958
269	19442607	11658472	21940384	-0.240942
270	19192266	11373210	21693182	-0.245153
271	18959853	11205844	21458974	-0.244881
272	18740672	10947912	21236734	-0.249412
273	18493041	10692950	20987042	-0.252827
274	18195033	10462860	20769572	-0.248326
275	17913700	10299394	20512436	-0.244514
276	17603798	10118430	20295024	-0.236223
277	17260747	9862278	20072566	-0.228503
278	16925734	9537592	19859644	-0.224286
279	16618442	9245246	19631968	-0.222070
280	16357675	9023458	19377620	-0.222642
281	16117605	8897596	19133452	-0.219728
282	15844892	8702704	18908026	-0.215731
283	15564605	8501526	18666168	-0.212230
284	15325556	8395176	18442736	-0.206759
285	15127905	8221846	18222370	-0.209171
286	14925736	8068826	17949954	-0.213521
287	14691780	7928712	17713680	-0.211202
288	14453168	7798980	17461816	-0.208772
289	14207698	7664856	17224190	-0.204732
290	13937601	7534868	16972772	-0.198410
291	13622548	7409964	16733440	-0.185359
292	13332952	7251318	16492810	-0.177155
293	13067391	7020602	16245508	-0.176582
294	12795433	6747956	16016344	-0.176480
295	12496717	6481728	15800408	-0.171597
296	12209073	6253566	15557644	-0.167566
297	11920674	6083266	15326290	-0.158668
298	11593918	5943214	15105244	-0.141631
299	11287777	5773820	14838674	-0.132293
300	11036770	5628196	14559574	-0.129521
301	10796254	5442896	14315842	-0.128094
302	10563142	5260222	14054182	-0.128921
303	10315044	5036368	13785420	-0.131175
304	10042443	4799944	13545984	-0.128374
305	9694061	4630558	13277570	-0.111466
306	9303712	4505990	13030866	-0.082156
307	8965379	4352124	12814186	-0.059656
308	8676360	4244412	12566948	-0.043078
309	8423228	4169254	12308616	-0.029945
310	8175140	4052366	12039642	-0.021452
311	7933318	3945046	11774530	-0.012490
312	7699451	3834206	11526686	-0.003298
313	7469829	3768598	11249800	0.006999
314	7266120	3657764	10996766	0.011121
315	7099039	3580608	10767230	0.013909
316	6914162	3464610	10513924	0.014287
317	6751689	3321152	10252864	0.006890
318	6618103	3183700	9976530	-0.007615
319	6461765	3018974	9740706	-0.016821
320	6304155	2952432	9503460	-0.016038
321	6156629	2908226	9256280	-0.016070
322	6035828	2821290	8988644	-0.029117
323	5903994	2726368	8745046	-0.038487
324	5769125	2639098	8532036	-0.043028
325	5630683	2526398	8282390	-0.054643
326	5479610	2433648	8031636	-0.061499
327	5354496	2349182	7771068	-0.075761
328	5217863	2258142	7527408	-0.086374
329	5069881	2147694	7274830	-0.098592
330	4908607	2036522	7034418	-0.106089
331	4689355	1971522	6798506	-0.089532
332	4517705	1883996	6580030	-0.086836
333	4348225	1827216	6327752	-0.085573
334	4165865	1722400	6079638	-0.087126
335	3965279	1635222	5817314	-0.082172
336	3781535	1558700	5575858	-0.076851
337	3607871	1494058	5323470	-0.074803
338	3434051	1393934	5075582	-0.078530
339	3249073	1320242	4851650	-0.067246
340	3078411	1216246	4627210	-0.067722
341	2930571	1087666	4390580	-0.087209
342	2751090	996688	4166710	-0.081307
343	2563458	904712	3955374	-0.067460
344	2390949	830174	3724176	-0.061100
345	2248346	759494	3480868	-0.073640
346	2109347	691310	3257580	-0.082823
347	1977136	611926	3000870	-0.113792
